id,created_at,text,user_id,user_name,user_screenname
957321394471120896,Sat Jan 27 18:36:21 +0000 2018,➝MASAKI YODA -jazzy- https://t.co/tYrYKjUScU #música #Japón #información,627032618,mars_project_on_amer,mars_project_on
957318295148953600,Sat Jan 27 18:24:02 +0000 2018,Venusaur (M) (IV: 64% - CP: 620) until 10:53:40AM at 5645 N Dapple Grey Rd https://t.co/XnZkasbK6i https://t.co/CaCT2WTCnl,812169101665669122,Vegas Pokémon Alert,VegasPokeMap
957314570057666562,Sat Jan 27 18:09:14 +0000 2018,RT @dazaclub: RT pra concorrer a vipão de hj! Só vale pra LGBTQ 🏳️‍🌈 https://t.co/cOCPBlbHRj https://t.co/N3CntYfdiV,275817926,Thays Bagatoli,thaysbagatoli
957321756590649344,Sat Jan 27 18:37:47 +0000 2018,RT @jeronimoauribem: Comparto lo que pienso de los hechos de los últimos días: https://t.co/pFvVD0ZWKo,180017278,GERMAN MONTOYA,GERMANGUSTAM
957315021159137280,Sat Jan 27 18:11:01 +0000 2018,Lickitung (F) (IV: 35% - CP: 599) until 10:38:44AM at 6705 Courtney Michelle St https://t.co/RDCB7ztmY5 https://t.co/LHGSFO9QY9,812169101665669122,Vegas Pokémon Alert,VegasPokeMap
957316451802800129,Sat Jan 27 18:16:42 +0000 2018,https://t.co/H4QZqfYwbk,240744699,Edward Teach,MTM1965
957319849625243651,Sat Jan 27 18:30:12 +0000 2018,RT @UTDCOMETSPORTS: Disclaimer: our APPLE conference attendees are competing in a social media challenge to team up against drunk driving.…,3091213232,Tori Edge,EdgeTori
957315421622939652,Sat Jan 27 18:12:37 +0000 2018,@kim_soler @alfons_godall https://t.co/TyH5MwGa36,237490098,Miguel en cita.es,miguelencita
957315040406749184,Sat Jan 27 18:11:06 +0000 2018,RT @googleanalytics: 3 Tips for Testing Tags in Google Tag Manager: https://t.co/la0uy4n6Ok [via @BenjaminMangold / @lovesdata],1225835107,Teal Ninja,teal_ninja
957314040862306304,Sat Jan 27 18:07:08 +0000 2018,Toetsenbord iPhone 6S niet nauwkeurig - One More Thing https://t.co/5WWmKyFMuW #apple #iphone,218496286,GSM-deals.nl,gsmadvies
957319677948112896,Sat Jan 27 18:29:32 +0000 2018,RT @flowdjavan: só gente MUITO estranha usa o snap do facebook mano,762974411486027776,monja,alienf_s
957316684750008321,Sat Jan 27 18:17:38 +0000 2018,"RT @timeto_jd: 150128 가온차트 #첸 #CHEN #종대
https://t.co/ZESWCfyvZ9
#TwitterBestFandom  #TeamEXO  #iHeartAwards #BestFanArmy #EXOL @weareoneEXO…",1886985332,Doppelganger,DoppelgangerKJD
957318736070967297,Sat Jan 27 18:25:47 +0000 2018,The latest The Google Street View Daily! https://t.co/1kVvdRoGQp Thanks to @DontPanicLabs @Vonigo @richardf #google #media,14756540,Delanae Lindstrom,Delanae
957315525851471872,Sat Jan 27 18:13:02 +0000 2018,"Google sabrá qué música te gusta, antes que tú https://t.co/0W2vIlGTC4 … https://t.co/6LhEGubPo5",520652935,Ivanna Leanni,Ivanna8000
957319008226652160,Sat Jan 27 18:26:52 +0000 2018,"RT @_KimberlyAceves: @RlNGOFCHAlN @LAPDHQ https://t.co/PlSrasQNVU.

 HERES THE FULL VIDEO. The 2 girls were arrested and taken into custody",2768637555,mila 🍜,aylinwby
957320961610715137,Sat Jan 27 18:34:38 +0000 2018,https://t.co/tWEoLsibc6,947346016893882368,Amy Deeb,amy_deeb
957320199421689856,Sat Jan 27 18:31:36 +0000 2018,"RT @AppleMusic: .@MIGOS + A N I M O J I
Listen to #CultureII now on Apple Music.
https://t.co/LBfSUc4RIS https://t.co/2xnjtc4tQs",3294790666,C H U B S.,maniimaniii
957317340944777217,Sat Jan 27 18:20:14 +0000 2018,"RT @jeffrey_heer: Thanks for inviting me, and thanks for the lovely visualization of the talk! https://t.co/caaV1rvUUs",318046158,Krist Wongsuphasawat,kristw
957316607402958848,Sat Jan 27 18:17:19 +0000 2018,I've become that Facebook person https://t.co/7OtV3EvFgI,1195008440,elizabeth¨̮,Lahizzz
957315791417851904,Sat Jan 27 18:14:05 +0000 2018,「ホッチキスの針」の正しい名前、知っていますか？――意外と知らない「ものの名前」 - 日刊SPA！ https://t.co/dVTZt7bK5R #脱毛 https://t.co/B7B03A5uzj,764419847358779392,除毛脱毛タイム,datsumoutime
957315736153837569,Sat Jan 27 18:13:52 +0000 2018,See Why Japanese Women Are Paying to Cry with a 'Handsome' Man - National Geographic 😭👘🇯🇵 https://t.co/1ZL7YVGZe0,1391148728,Garnet Heraman,GarnetHeraman
957314045991931906,Sat Jan 27 18:07:09 +0000 2018,VOLTA PRO FACEBOOK https://t.co/oCt3Fo5prE,152070099,Capitu,_Izabellegomes
957317379779891200,Sat Jan 27 18:20:24 +0000 2018,"RT @DuckDuckGo: If you ever get asked why you should use DuckDuckGo instead of Google, here's a definitive answer by @yegg:

https://t.co/2…",603864949,derechoaleer,derechoaleer
957319236195512320,Sat Jan 27 18:27:46 +0000 2018,RT @stommakagami: この素晴らしい写真は、 ロゴメーカー. あなた自身を作る..https://t.co/DNMBsTg0qf https://t.co/3Vw1qpZXi9,3248590700,インビィ,inby0427
957319295582851072,Sat Jan 27 18:28:00 +0000 2018,RT @KURIERat: FPÖ-Vizekanzler @HCStracheFP in der Zwickmühle: Facebook-Fans bestrafen Kritik an Antisemitismus mit Shitstorm https://t.co/2…,703893000192192512,Timon Scheuer,timonscheuer
957318515735883777,Sat Jan 27 18:24:54 +0000 2018,"RT @JRDNMARS_: JRDN44 
Issue 1
Out now 
https://t.co/hpIZpSI6SU https://t.co/YcE0ouNdfS",349909295,Tiberius Rex,Russtafarii
957317583413366786,Sat Jan 27 18:21:12 +0000 2018,It’s one of those days when you want to art and have the opportunity but you end up in the time suck of @Facebook.,4831382608,Plannerize,Plannerize
957318259581349888,Sat Jan 27 18:23:53 +0000 2018,"Microsoft targeted in apparent Chinese antitrust probe https://t.co/aJMgopoRoe #infosec, #security #oldnews",2750784361,YourCyberNews,YourCyberNews
957314541141966851,Sat Jan 27 18:09:07 +0000 2018,Google is selling a tiny camera for $249 that apparently only takes perfect pictures https://t.co/ieTYzdENlt,558779223,BARIŞ BULUT,BARIBULUT1
957319491788201989,Sat Jan 27 18:28:47 +0000 2018,Mientras tanto en facebook https://t.co/UeAdpanreY,518207539,Lonesome Rider,LuisRoBarillas
957314507692388353,Sat Jan 27 18:08:59 +0000 2018,Why I left Google to join Grab – Steve Yegge – Medium https://t.co/IyQr7oId0l via @instapaper,5379862,Kevin Stewart,kstewart
